CBM44	Ga0213501_10000141
GT51	Ga0213501_10000331
GH11	Ga0213501_10000421
GH11	Ga0213501_10000431
GH11	Ga0213501_10000441
CBM36	Ga0213501_10000851
GH11	Ga0213501_10000871
GH11	Ga0213501_10000881
CBM36	Ga0213501_10000881
GH11	Ga0213501_10000891
GH11	Ga0213501_10000901
GH11	Ga0213501_10001431
GH11	Ga0213501_10001441
GH11	Ga0213501_10001451
GH11	Ga0213501_10001491
CBM36	Ga0213501_10001492
CBM36	Ga0213501_10001501
GH9	Ga0213501_10002681
GH9	Ga0213501_10002691
GH67	Ga0213501_10003011
CBM36	Ga0213501_10003251
GH11	Ga0213501_10003251
CBM36	Ga0213501_10003261
CBM36	Ga0213501_10003261
GH130	Ga0213501_10003341
CBM36	Ga0213501_10003881
CBM36	Ga0213501_10003891
CBM36	Ga0213501_10003892
CBM36	Ga0213501_10004631
CBM36	Ga0213501_10005481
CBM36	Ga0213501_10006371
GH1	Ga0213501_10006771
GH1	Ga0213501_10006791
CBM37	Ga0213501_10007701
CBM36	Ga0213501_10009351
CBM36	Ga0213501_10009361
GH38	Ga0213501_10010061
GH30	Ga0213501_10010291
CBM36	Ga0213501_10011701
GH11	Ga0213501_10011881
GH11	Ga0213501_10011891
CBM36	Ga0213501_10012501
CBM13	Ga0213501_10012871
GH130	Ga0213501_10015211
GT49	Ga0213501_10015731
GH2	Ga0213501_10016261
CBM14	Ga0213501_10016591
CBM14	Ga0213501_10016591
CBM14	Ga0213501_10016601
CBM14	Ga0213501_10016601
CBM14	Ga0213501_10016611
CBM14	Ga0213501_10016611
CBM14	Ga0213501_10016621
CBM14	Ga0213501_10016631
GH13	Ga0213501_10016891
CBM50	Ga0213501_10016921
CBM36	Ga0213501_10017191
CBM37	Ga0213501_10017521
CBM13	Ga0213501_10017551
CBM37	Ga0213501_10017781
CBM16	Ga0213501_10019421
CBM13	Ga0213501_10020011
CE4	Ga0213501_10020111
GH11	Ga0213501_10020901
CBM56	Ga0213501_10022301
CBM20	Ga0213501_10024881
GH109	Ga0213501_10026242
CBM54	Ga0213501_10026271
SLH	Ga0213501_10026981
CE1	Ga0213501_10029081
CBM4	Ga0213501_10029371
GH13	Ga0213501_10029462
CBM50	Ga0213501_10030251
GH11	Ga0213501_10031331
CBM38	Ga0213501_10032851
CBM22	Ga0213501_10033941
GH31	Ga0213501_10033971
GH29	Ga0213501_10034511
CBM22	Ga0213501_10034571
GH11	Ga0213501_10035131
CE3	Ga0213501_10035602
GT2	Ga0213501_10037441
GT2	Ga0213501_10037451
CBM22	Ga0213501_10038911
CE11	Ga0213501_10039141
CE11	Ga0213501_10039351
GH2	Ga0213501_10041721
CE10	Ga0213501_10042261
GT32	Ga0213501_10045561
GH11	Ga0213501_10046611
CBM36	Ga0213501_10047331
GH11	Ga0213501_10047331
CBM36	Ga0213501_10047331
CBM8	Ga0213501_10047551
CBM11	Ga0213501_10047601
CBM4	Ga0213501_10048671
CBM36	Ga0213501_10050121
CBM36	Ga0213501_10050121
CE1	Ga0213501_10051032
AA6	Ga0213501_10051452
